,school_name,school_city,school_score,school_post_code,address
2909,St Patrick,Kapuskasing,2.8,P5N2A8,6 Cedar St
2910,White Woods,Sturgeon Falls,2.8,P2B2Z8,177 Ethel St
2911,Woodland,North Bay,2.8,P1B4S3,1325 Cedargrove Drive
2912,Central,Cornwall,2.7,K6H0A5,200 Amelia Street
2913,Dunlop,Ottawa,2.7,K1V7R8,1310 Pebble Rd
2914,Glen Street,Oshawa,2.7,L1J3T9,929 Glen St
2915,Highland Heights,Peterborough,2.7,K9H5J7,430 Highland Rd
2916,Hillcrest,London,2.7,N5Y4P7,1231 Fuller St
2917,Hillsdale,Oshawa,2.7,L1G5T6,525 Oshawa Blvd N
2918,Johnson Street,Barrie,2.7,L4M4R4,105 Johnson St
2919,McDougall,Parry Sound,2.7,P2A2W7,69 Hwy 124
2920,Memorial (City),Hamilton,2.7,L8M1P3,1175 Main Street East
2921,Pavillon de la jeunesse,Hamilton,2.7,L8T3Z4,105 rue High
2922,St Gregory,Cambridge,2.7,N1S3H1,34 Osborne Ave
2923,St. Francis of Assisi,Kingston,2.7,K7K5B5,114 Wiley Street
2924,W.E. Gowling,Ottawa,2.7,K1Z7V6,250 Anna St
2925,Aldborough,Rodney,2.6,N0L2C0,11443 Furnival Rd
2926,Central,Woodstock,2.6,N4S4G4,410 Hunter St
2927,Fairmont,London,2.6,N5W1A6,1040 Hamilton Rd
2928,King George,Brantford,2.6,N3S6G7,265 Rawdon St
2929,Queen Elizabeth,Ottawa,2.6,K1K3A6,689 St Laurent Blvd
2930,St Michael,Ottawa,2.6,K1K1L8,437 Donald St
2931,Agnes Hodge,Brantford,2.5,N3T1B6,52 Clench Ave
2932,Arthur Stringer,London,2.5,N6C2Y5,43 Shaftesbury Ave
2933,Bennetto,Hamilton,2.5,L8L3N2,47 Simcoe Street East
2934,East Williams Memorial,Ailsa Craig,2.5,N0M1A0,4441 Queens Ave
2935,Epiphany of our Lord,Toronto,2.5,M1W3J5,3150 Pharmacy Ave
2936,Lansdowne,Sarnia,2.5,N7S1G7,95 Lansdowne Ave
2937,Muskoka Falls,Bracebridge,2.5,P1L0A1,42 Morrow Dr
2938,Parkhill-West Williams,Parkhill,2.5,N0M2K0,204 McLeod St 488
2939,Princess Elizabeth,Brantford,2.5,N3S2B5,60 Tecumseh St
2940,Saint-Raymond,North Bay,2.5,P1A2S7,22 avenue Borge
2941,St Dorothy,Toronto,2.5,M9V1N7,155 John Garland Blvd
2942,St Roch,Toronto,2.5,M9L2E3,174 Duncanwoods Dr
2943,Good Shepherd,Port Perry,2.4,L9L1T1,1650 Reach St
2944,Hanna Memorial,Sarnia,2.4,N7T4T7,369 Maria St
2945,Levack,Levack,2.4,P0M2C0,100 High St
2946,Molly Brant,Kingston,2.4,0J5,30 Lyons Street
2947,St Columban's,Cornwall,2.4,K6J3W4,323 Augustus St
2948,Tamworth,Tamworth,2.4,K0K3G0,6668 Wheeler St
2949,Trent River,Trenton,2.4,0H1,84 Dixon Drive
2950,A R Kaufman,Kitchener,2.3,N2M2G3,11 Chopin Dr
2951,Eastview,Toronto,2.3,M1E2E5,20 Waldock St
2952,Hawthorne,Ottawa,2.3,K1G1A9,2158 St. Laurent Blvd
2953,Lionel-Gauthier,Timmins,2.3,P4N3P9,88 rue Rea S
2954,St Noel Chabanel,Wasaga Beach,2.3,L9Z1P3,425 Ramblewood Dr
2955,Woodcrest,Oshawa,2.3,L1J2T8,506 Woodcrest Ave
2956,M S Hetherington,Windsor,2.2,N8S1W4,8800 Menard St
2957,Sacred Heart,Sioux Lookout,2.2,P8T1B7,41 8th St Box 1059
2958,Saint-François-d'Assise,Welland,2.2,L3B1K9,58 avenue Empress
2959,A B Ellis,Espanola,2.1,P5E1S7,128 Park St
2960,Crossroads,Devlin,2.1,P0W1C0,Highway 613
2961,Hyland Heights,Shelburne,2.1,L0N1S1,200 Fourth Ave
2962,Jeanne-Sauvé,Sudbury,2.1,P3B1H9,300 rue Van Horne
2963,John Graves Simcoe,Kingston,2.1,K7K5B4,90 Wiley St
2964,Sir Arthur Carty,London,2.1,N6E2S3,1655 Ernest Ave
2965,Emily Stowe,Norwich,2,N0J1P0,1 Jerdon Street 759
2966,Ionview,Toronto,2,M1K2Z9,90 Ionview Rd
2967,Le Trillium,Vanier,2,K1L7X5,307 rue Montgomery
2968,Mountain View,Goulais River,2,P0S1E0,Mahler Rd
2969,Plymouth,Welland,2,L3B4S1,111 First St
2970,Connaught,Collingwood,1.9,L9Y3W2,300 Peel St
2971,Joseph H Kennedy,Matheson,1.9,P0K1N0,422 4th Avenue Box 640
2972,Queen Victoria,Hamilton,1.9,L8L6X4,166 Forest Avenue
2973,R J Lang,Toronto,1.9,M2M1E3,227 Drewry Ave
2974,Victoria,London,1.9,N6J2K5,130 Wharncliffe Rd S
2975,Federal,Kirkland Lake,1.8,P2N1J5,80 Tweedsmuir Rd
2976,Highland Heights,Toronto,1.8,M1T2Z3,35 Glendower Circt
2977,I L Thomas Odadrihonyani'ta',Ohsweken,1.8,ON,
2978,LaMarsh,Niagara Falls,1.8,L2E6C8,4571 Rd Drummond
2979,Lansdowne-Costain,Brantford,1.8,N3T5B1,21 Preston Blvd
2980,Quinte Mohawk,Tyendinaga Territory,1.8,1X0,1624 York Road  R.R. #1
2981,Dawnview,Hanover,1.7,N4N2S8,149 12th Ave
2982,Rideau Heights,Kingston,1.7,K7K2V8,77 MacCauley St
2983,Sir George Etienne Cartier,London,1.7,N6C2W9,695 Chiddington Ave
2984,Cathy Wever,Hamilton,1.6,L8L5V7,160 Wentworth Street North
